,image,emotion
0,AJ_Cook_0001.jpg,happiness
1,AJ_Lamas_0001.jpg,happiness
2,Aaron_Eckhart_0001.jpg,neutral
3,Aaron_Guiel_0001.jpg,happiness
4,Aaron_Patterson_0001.jpg,neutral
5,Aaron_Peirsol_0001.jpg,happiness
6,Aaron_Peirsol_0002.jpg,happiness
7,Aaron_Peirsol_0003.jpg,happiness
8,Aaron_Peirsol_0004.jpg,neutral
9,Aaron_Pena_0001.jpg,neutral
10,Aaron_Sorkin_0001.jpg,happiness
11,Aaron_Sorkin_0002.jpg,happiness
12,Aaron_Tippin_0001.jpg,neutral
13,Abba_Eban_0001.jpg,happiness
14,Abbas_Kiarostami_0001.jpg,neutral
15,Abdel_Aziz_Al-Hakim_0001.jpg,neutral
16,Abdel_Madi_Shabneh_0001.jpg,neutral
17,Abdel_Nasser_Assidi_0001.jpg,neutral
18,Abdel_Nasser_Assidi_0002.jpg,neutral
19,Abdoulaye_Wade_0001.jpg,neutral
20,Abdoulaye_Wade_0002.jpg,happiness
21,Abdoulaye_Wade_0003.jpg,neutral
22,Abdoulaye_Wade_0004.jpg,happiness
23,Abdul_Rahman_0001.jpg,neutral
24,Abdulaziz_Kamilov_0001.jpg,neutral
25,Abdullah_0001.jpg,neutral
26,Abdullah_0002.jpg,neutral
27,Abdullah_0003.jpg,neutral
28,Abdullah_0004.jpg,neutral
29,Abdullah_Ahmad_Badawi_0001.jpg,happiness
30,Abdullah_Gul_0001.jpg,neutral
31,Abdullah_Gul_0002.jpg,happiness
32,Abdullah_Gul_0003.jpg,happiness
33,Abdullah_Gul_0004.jpg,happiness
34,Abdullah_Gul_0005.jpg,happiness
35,Abdullah_Gul_0006.jpg,neutral
36,Abdullah_Gul_0007.jpg,neutral
37,Abdullah_Gul_0008.jpg,neutral
38,Abdullah_Gul_0009.jpg,neutral
39,Abdullah_Gul_0010.jpg,neutral
40,Abdullah_Gul_0011.jpg,neutral
41,Abdullah_Gul_0012.jpg,happiness
42,Abdullah_Gul_0013.jpg,neutral
43,Abdullah_Gul_0014.jpg,neutral
44,Abdullah_Gul_0016.jpg,neutral
45,Abdullah_Gul_0017.jpg,neutral
46,Abdullah_Gul_0018.jpg,neutral
47,Abdullah_Gul_0019.jpg,neutral
48,Abdullah_Nasseef_0001.jpg,surprise
49,Abdullah_al-Attiyah_0003.jpg,neutral
50,Abdullatif_Sener_0001.jpg,neutral
51,Abdullatif_Sener_0002.jpg,neutral
52,Abel_Aguilar_0001.jpg,neutral
53,Abel_Pacheco_0001.jpg,neutral
54,Abel_Pacheco_0002.jpg,neutral
55,Abel_Pacheco_0003.jpg,neutral
56,Abel_Pacheco_0004.jpg,neutral
57,Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,happiness
58,Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,neutral
59,Abner_Martinez_0001.jpg,happiness
60,Abraham_Foxman_0001.jpg,neutral
61,Aby_Har-Even_0001.jpg,neutral
62,Adam_Ant_0001.jpg,neutral
63,Adam_Freier_0001.jpg,neutral
64,Adam_Herbert_0001.jpg,neutral
65,Adam_Kennedy_0001.jpg,neutral
66,Adam_Mair_0001.jpg,surprise
67,Adam_Rich_0001.jpg,neutral
68,Adam_Sandler_0001.jpg,neutral
69,Adam_Sandler_0002.jpg,neutral
70,Adam_Sandler_0003.jpg,neutral
71,Adam_Sandler_0004.jpg,happiness
72,Adam_Scott_0001.jpg,neutral
73,Adam_Scott_0002.jpg,neutral
74,Adel_Al-Jubeir_0001.jpg,neutral
75,Adel_Al-Jubeir_0002.jpg,neutral
76,Adel_Al-Jubeir_0003.jpg,neutral
77,Adelina_Avila_0001.jpg,neutral
78,Adisai_Bodharamik_0001.jpg,neutral
79,Adolfo_Aguilar_Zinser_0001.jpg,neutral
80,Adolfo_Aguilar_Zinser_0002.jpg,neutral
81,Adolfo_Aguilar_Zinser_0003.jpg,neutral
82,Adolfo_Rodriguez_Saa_0001.jpg,happiness
83,Adolfo_Rodriguez_Saa_0002.jpg,happiness
84,Adoor_Gopalakarishnan_0001.jpg,neutral
85,Adrian_Annus_0001.jpg,neutral
86,Adrian_Fernandez_0001.jpg,neutral
87,Adrian_McPherson_0001.jpg,neutral
88,Adrian_McPherson_0002.jpg,neutral
